INC_IR_NO,INC_DATE,INC_YEAR,INC_TIME,INC_DAY_WEEK,INC_LOC_COUNTY,HUNDRED_BLOCK,INC_CITY,INC_STATE,INC_ZIPCODE,INC_PRECINCT,CIT_NUMBER,CIT_GENDER,CIT_AGE,SUBJ_AGE_GROUP,CIT_RACE,CIT_ETHNICITY,SIMPLE_SUBJ_RE_GRP,CITIZEN_CHARGE,PGP_COUNT
"202000001131875","07/07/2020","2020","22:41","Tuesday","625 Beat","1XXX Hayward Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21875","Male","17","<20","White","Hispanic","Hispanic","None","1"
"202000001131875","07/07/2020","2020","22:41","Tuesday","625 Beat","1XXX Hayward Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21874","Male","22","20s","White","Hispanic","Hispanic","None","1"
"202000001127190","07/07/2020","2020","03:48","Tuesday","824 Beat","2XXX 46th Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21809","Male","37","30s","White","Hispanic","Hispanic","None","1"
"202000001130542","07/07/2020","2020","17:15","Tuesday","412 Beat","3XXX Buckeye Road W","Phoenix","AZ","85009","South Mountain Precinct","21822","Male","34","30s","White","Hispanic","Hispanic","None","1"
"202000001132356","07/07/2020","2020","23:59","Tuesday","736 Beat","7XX W McDowell Rd","Phoenix","AZ","85007","Mountain View Precinct","21849","Male","45","40s","White","Non-Hispanic","White","None","1"
"202000001131573","07/07/2020","2020","20:36","Tuesday","831 Beat","2XXX 89th Drive S","Phoenix","AZ","85353","Maryvale/Estrella Precinct","21816","Male","26","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001132050","07/07/2020","2020","22:30","Tuesday","726 Beat","4XXX Van Buren Street E","Phoenix","AZ","85009","Mountain View Precinct","14734","Male","49","40s","American Indian / Alaskan Native","Non-Hispanic","Other","None","1"
"202000001131875","07/07/2020","2020","22:41","Tuesday","625 Beat","1XXX Hayward Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21872","Male","18","<20","White","Hispanic","Hispanic","None","1"
"202000001132356","07/07/2020","2020","23:59","Tuesday","736 Beat","7XX W McDowell Rd","Phoenix","AZ","85007","Mountain View Precinct","21848","Male","45","40s","White","Non-Hispanic","White","None","1"
"202000001109874","07/07/2020","2020","13:55","Tuesday","232 Beat","1XXXX Cave Creek Road N","Phoenix","AZ","85032","Black Mountain Precinct","22511","Male","21","20s","White","Hispanic","Hispanic","None","1"
"202000001102660","07/08/2020","2020","09:21","Wednesday","514 Beat","1XXX Sherman Street W","Phoenix","AZ","85007","Central City Precinct","21852","Male","20","20s","White","Hispanic","Hispanic","None","1"
"202000001135212","07/08/2020","2020","14:21","Wednesday","625 Beat","7XXX 7th Street N","Phoenix","AZ","85020","Desert Horizon Precinct","21837","Male","33","30s","White","Non-Hispanic","White","None","1"
"202000001137384","07/08/2020","2020","22:05","Wednesday","736 Beat","1XXX N 3rd St","Phoenix","AZ","85004","Mountain View Precinct","21842","Male","30","30s","Black","Non-Hispanic","Black or African American","None","1"
"200000001136392","07/08/2020","2020","18:02","Wednesday","Maricopa","4XXX 27th Avenue N","Phoenix","AZ","85017","Cactus Park Precinct","21820","Male","32","30s","Black","Non-Hispanic","Black or African American","None","1"
"202000001135597","07/08/2020","2020","15:45","Wednesday","913 Beat","3XXX Camelback Road W","Phoenix","AZ","85019","Cactus Park Precinct","21819","Male","28","20s","White","Non-Hispanic","White","None","1"
"202000001141646","07/09/2020","2020","17:20","Thursday","833 Beat","3XXX Lydia Lane W","Phoenix","AZ","85041","Maryvale/Estrella Precinct","21846","Female","40","40s","White","Hispanic","Hispanic","None","1"
"202000001138203","07/09/2020","2020","02:25","Thursday","425 Beat","1XXX Baseline Road E","Phoenix","AZ","85042","South Mountain Precinct","21864","Male","23","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001141646","07/09/2020","2020","17:20","Thursday","833 Beat","3XXX Lydia Lane W","Phoenix","AZ","85041","Maryvale/Estrella Precinct","21847","Male","46","40s","Black","Non-Hispanic","Black or African American","None","1"
"20200001141328","07/09/2020","2020","16:45","Thursday","824 Beat","4XXX Thomas Road W","Phoenix","AZ","85031","Maryvale/Estrella Precinct","21980","Male","16","<20","White","Hispanic","Hispanic","None","1"
"20200001141328","07/09/2020","2020","16:45","Thursday","824 Beat","4XXX Thomas Road W","Phoenix","AZ","85031","Maryvale/Estrella Precinct","21982","Male","22","20s","White","Hispanic","Hispanic","None","1"
"20200001141328","07/09/2020","2020","16:45","Thursday","824 Beat","4XXX Thomas Road W","Phoenix","AZ","85031","Maryvale/Estrella Precinct","21981","Male","24","20s","White","Hispanic","Hispanic","None","1"
"202000001143401","07/09/2020","2020","22:39","Thursday","721 Beat","2XXX 26th Place N","phoenix","AZ","85016","Mountain View Precinct","22055","Male","30","30s","White","Hispanic","Hispanic","None","1"
"202000001140945","07/09/2020","2020","15:33","Thursday","922 Beat","3XXX Dunlap Avenue W","Phoenix","AZ","85051","Cactus Park Precinct","21843","Male","24","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001144207","07/10/2020","2020","03:55","Friday","833 Beat","5XXX Jones Avenue W","Phoenix","AZ","85043","Maryvale/Estrella Precinct","21851","Male","31","30s","American Indian / Alaskan Native","Unknown","Other","None","1"
"202000001148896","07/10/2020","2020","21:58","Friday","812 Beat","1XXX 91st Avenue N","Phoenix","AZ","85037","Maryvale/Estrella Precinct","21862","Male","50","50s","White","Hispanic","Hispanic","None","1"
"202000001143838","07/10/2020","2020","00:01","Friday","915 Beat","5XXX Black Canyon Access N","Phoenix","AZ","85017","Cactus Park Precinct","21861","Male","27","20s","White","Non-Hispanic","White","None","1"
"202000001147347","07/10/2020","2020","16:11","Friday","422 Beat","5XXX Central Avenue S","Phoenix","AZ","85040","South Mountain Precinct","21867","Male","76","70s","Black","Non-Hispanic","Black or African American","None","1"
"202000001147549","07/10/2020","2020","18:41","Friday","814 Beat","3XXX 68th Lane N","Phoenix","AZ","85033","Maryvale/Estrella Precinct","21860","Male","Not Available","Not Available","White","Hispanic","Hispanic","None","1"
"202000001147304","07/10/2020","2020","16:11","Friday","613 Beat","2XXX West Coolidge Street","Phoenix","AZ","85017","Desert Horizon Precinct","22818","Male","40","40s","Black","Non-Hispanic","Black or African American","Criminal Felony","1"
"202000001145677","07/10/2020","2020","12:05","Friday","722 Beat","1XXX 32nd Street N","Phoenix","AZ","85008","Mountain View Precinct","22373","Male","23","20s","White","Non-Hispanic","White","None","1"
"202000001149823","07/11/2020","2020","02:36","Saturday","411 Beat","3XXX GARFIELD Street W","PHOENIX","AZ","85009","South Mountain Precinct","21869","Male","26","20s","White","Hispanic","Hispanic","None","1"
"202000001150642","07/11/2020","2020","09:45","Saturday","623 Beat","2XXX Dunlap Avenue W","Phoenix","AZ","85021","Desert Horizon Precinct","21878","Male","52","50s","American Indian / Alaskan Native","Non-Hispanic","Other","None","1"
"202000001153886","07/11/2020","2020","20:25","Saturday","512 Beat","2XX Central Avenue N","phoenix","AZ","85004","Central City Precinct","21990","Male","43","40s","Black","Non-Hispanic","Black or African American","None","1"
"202000001152005","07/11/2020","2020","14:03","Saturday","722 Beat","3XXX East Almeria Road","Phoenix","AZ","85008","Mountain View Precinct","37236","Male","65","60s","White","Non-Hispanic","White","None","1"
"202000001150141","07/11/2020","2020","06:00","Saturday","625 Beat","1XXX Glendale Avenue W","Phoenix","AZ","85021","Desert Horizon Precinct","21879","Male","25","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001149931","07/11/2020","2020","03:33","Saturday","725 Beat","2XXX Van Buren Street E","Phoenix","AZ","85008","Mountain View Precinct","22135","Male","26","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001153382","07/11/2020","2020","18:55","Saturday","923 Beat","8XXX 35th Avenue N","Phoenix","AZ","85051","Cactus Park Precinct","21885","Male","28","20s","White","Hispanic","Hispanic","None","1"
"202000001129045","07/12/2020","2020","03:03","Sunday","734 Beat","2XXX West Thomas Road","Phoenix","AZ","85031","Mountain View Precinct","32948","Female","32","30s","Black","Non-Hispanic","Black or African American","Criminal Felony","1"
"202000001157613","07/12/2020","2020","14:51","Sunday","933 Beat","4XXX Union HIlls Drive W","Glendale","AZ","85308","Cactus Park Precinct","21888","Male","32","30s","White","Non-Hispanic","White","None","1"
"202000001159264","07/12/2020","2020","20:51","Sunday","514 Beat","1XXX Buckeye Road W","Phoenix","AZ","85007","Central City Precinct","21993","Female","30","30s","White","Hispanic","Hispanic","None","1"
"202000001156323","07/12/2020","2020","09:28","Sunday","813 Beat","4XXX 68th Drive N","Phoenix","AZ","Not Available","Maryvale/Estrella Precinct","21883","Male","27","20s","White","Hispanic","Hispanic","None","1"
"202000001156323","07/12/2020","2020","09:28","Sunday","813 Beat","4XXX 68th Drive N","Phoenix","AZ","Not Available","Maryvale/Estrella Precinct","21884","Male","22","20s","White","Hispanic","Hispanic","None","1"
"202000001157487","07/12/2020","2020","14:31","Sunday","613 Beat","1XXX Campbell Avenue W","Phoenix","AZ","85015","Desert Horizon Precinct","21892","Male","52","50s","American Indian / Alaskan Native","Unknown","Other","None","1"
"202000001155547","07/12/2020","2020","03:45","Sunday","915 Beat","2XXX Stella Lane W","Phoenix","AZ","85017","Cactus Park Precinct","21952","Male","18","<20","White","Hispanic","Hispanic","None","1"
"202000001154994","07/12/2020","2020","00:19","Sunday","612 Beat","1XXX Glendale Avenue E","Phoenix","AZ","85020","Desert Horizon Precinct","21901","Male","24","20s","White","Hispanic","Hispanic","None","1"
"202000001159264","07/12/2020","2020","20:51","Sunday","514 Beat","1XXX Buckeye Road W","Phoenix","AZ","85007","Central City Precinct","21992","Male","28","20s","White","Hispanic","Hispanic","None","1"
"202000001157271","07/12/2020","2020","13:46","Sunday","824 Beat","4XXX McDowell Road W","Phoenix","AZ","85043","Maryvale/Estrella Precinct","21970","Female","55","50s","Black","Non-Hispanic","Black or African American","None","1"
"202000001156323","07/12/2020","2020","09:28","Sunday","813 Beat","4XXX 68th Drive N","Phoenix","AZ","Not Available","Maryvale/Estrella Precinct","21882","Male","29","20s","White","Hispanic","Hispanic","None","1"
"202000001155493","07/12/2020","2020","03:05","Sunday","734 Beat","2XXX Grand Avenue W","Phoenix","AZ","85009","Mountain View Precinct","21903","Female","32","30s","Black","Non-Hispanic","Black or African American","None","1"
"2020000001163405","07/13/2020","2020","16:32","Monday","925 Beat","4XXX Mountain View Road W","Phoenx","AZ","85051","Cactus Park Precinct","21914","Male","39","30s","White","Non-Hispanic","White","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21895","Male","49","40s","White","Hispanic","Hispanic","None","1"
"202000001139328","07/13/2020","2020","17:13","Monday","221 Beat","1XXX Bell Road W","Phoenix","AZ","85023","Black Mountain Precinct","21926","Male","21","20s","American Indian / Alaskan Native","Non-Hispanic","Other","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21897","Male","32","30s","White","Hispanic","Hispanic","None","1"
"202000001161101","07/13/2020","2020","08:24","Monday","824 Beat","1XXX 45th Avenue N","Phoenix","AZ","85035","Maryvale/Estrella Precinct","21905","Male","25","20s","White","Hispanic","Hispanic","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21899","Female","31","30s","White","Hispanic","Hispanic","None","1"
"202000001163746","07/13/2020","2020","19:16","Monday","423 Beat","4XXX 28th Street S","Phoenix","AZ","85040","South Mountain Precinct","22018","Male","40","40s","White","Hispanic","Hispanic","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21898","Male","21","20s","White","Hispanic","Hispanic","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21894","Female","57","50s","White","Hispanic","Hispanic","None","1"
"202000001165022","07/13/2020","2020","22:15","Monday","622 Beat","1XXX Hatcher Road W","Phoenix","AZ","85021","Desert Horizon Precinct","21904","Male","44","40s","Black","Non-Hispanic","Black or African American","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21900","Male","34","30s","White","Hispanic","Hispanic","None","1"
"202000001163746","07/13/2020","2020","19:16","Monday","423 Beat","4XXX 28th Street S","Phoenix","AZ","85040","South Mountain Precinct","22017","Female","65","60s","White","Hispanic","Hispanic","None","1"
"2020000001162121","07/13/2020","2020","11:50","Monday","825 Beat","3XXX Willetta Street W","Phoenix","AZ","85009","Maryvale/Estrella Precinct","21896","Male","40","40s","White","Hispanic","Hispanic","None","1"
"202000001163405","07/13/2020","2020","21:00","Monday","925 Beat","4XXX W Mountain View Rd","Phoenix","AZ","Not Available","Cactus Park Precinct","21914","Male","39","30s","White","Non-Hispanic","White","None","1"
"202000001163746","07/13/2020","2020","19:16","Monday","423 Beat","4XXX 28th Street S","Phoenix","AZ","85040","South Mountain Precinct","22022","Female","40","40s","White","Hispanic","Hispanic","None","1"
"202000001165009","07/13/2020","2020","22:05","Monday","721 Beat","2XXX Oak Street E","phoenix","AZ","85008","Mountain View Precinct","21915","Female","18","<20","White","Hispanic","Hispanic","None","1"
"202000001077234","07/14/2020","2020","10:55","Tuesday","431 Beat","3XXX Illini Road E","Phoenix","AZ","85040","South Mountain Precinct","21985","Male","19","<20","White","Hispanic","Hispanic","None","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22722","Male","46","40s","White","Non-Hispanic","White","None","1"
"202000001170933","07/14/2020","2020","22:14","Tuesday","414 Beat","6XXX 26th Avenue S","Phoenix","AZ","85041","South Mountain Precinct","22097","Male","19","<20","Black","Hispanic","Hispanic","None","1"
"202000001166046","07/14/2020","2020","06:40","Tuesday","723 Beat","4XXX McDowell Road E","Phoenix","AZ","85008","Desert Horizon Precinct","21983","Male","20","20s","Black","Non-Hispanic","Black or African American","None","1"
"202000001167975","07/14/2020","2020","13:50","Tuesday","Maricopa","5XXX Northern Avenue W","Glendale","AZ","85301","Out of City","21984","Male","26","20s","White","Hispanic","Hispanic","None","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22727","Female","8","<20","White","Non-Hispanic","White","None","1"
"202000001165575","07/14/2020","2020","02:17","Tuesday","224 Beat","1XXXX 22nd Avenue N","Phoenix","AZ","85023","Black Mountain Precinct","21978","Male","35","30s","White","Non-Hispanic","White","None","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22721","Male","43","40s","White","Hispanic","Hispanic","None","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22720","Female","37","30s","White","Non-Hispanic","White","None","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22725","Male","34","30s","White","Non-Hispanic","White","None","1"
"202000001168548","07/14/2020","2020","14:42","Tuesday","732 Beat","6XXX West Indian School Road","Phoenix","AZ","85013","Mountain View Precinct","13361","Male","29","20s","Black","Non-Hispanic","Black or African American","Criminal Felony","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22723","Male","47","40s","White","Non-Hispanic","White","None","1"
"202000000009090","07/14/2020","2020","14:26","Tuesday","934 Beat","3XXX Mohawk Lane W","Phoenix","AZ","85308","Cactus Park Precinct","22724","Male","56","50s","White","Non-Hispanic","White","None","1"
